valueDate,vendorId,notes,organization,email,categoryName,vendorName,amount,currency
09-Nov-21,269149178,Service Fee,Ever Technologies,bsherwen35@ever.co,Service Fee,Upwork,-50,USD
03-Dec-21,268084995,Service Fee,Ever Technologies,pchurchill36@ever.co,Service Fee,Upwork,-58,USD
16-Dec-21,268318444,Service Fee,Ever Technologies,rbrandham37@ever.co,Service Fee,Upwork,-93,USD
26-Dec-21,268729135,Service Fee,Ever Technologies,tboundy38@ever.co,Service Fee,Upwork,-22,USD
12-Dec-21,266913082,Service Fee,Ever Technologies,asopp39@ever.co,Service Fee,Upwork,-97,USD
22-Nov-21,269516428,Service Fee,Ever Technologies,tmeese3a@ever.co,Service Fee,Upwork,-59,USD
21-Dec-21,266655936,Service Fee,Ever Technologies,fantoney3b@ever.co,Service Fee,Upwork,-52,USD
11-Jan-22,266418797,Service Fee,Ever Technologies,thendren3c@ever.co,Service Fee,Upwork,-72,USD
12-Jan-22,268822397,Service Fee,Ever Technologies,gbaxill3d@ever.co,Service Fee,Upwork,-55,USD
25-Jan-22,267095763,Service Fee,Ever Technologies,dmacanelley3e@ever.co,Service Fee,Upwork,-40,USD
20-Nov-21,269459878,Service Fee,Ever Technologies,mmacken3f@ever.co,Service Fee,Upwork,-86,USD
04-Dec-21,268069347,Service Fee,Ever Technologies,ttillman3g@ever.co,Service Fee,Upwork,-72,USD
10-Nov-21,268265469,Service Fee,Ever Technologies,vromme3h@ever.co,Service Fee,Upwork,-62,USD
02-Jan-22,266132268,Service Fee,Ever Technologies,blambarth3i@ever.co,Service Fee,Upwork,-54,USD
22-Jan-22,268008385,Service Fee,Ever Technologies,ggaskins3j@ever.co,Service Fee,Upwork,-83,USD
28-Nov-21,266254136,Service Fee,Ever Technologies,stidder3k@ever.co,Service Fee,Upwork,-11,USD
15-Jan-22,267184833,Service Fee,Ever Technologies,gmisken3l@ever.co,Service Fee,Upwork,-90,USD
24-Nov-21,268131519,Service Fee,Ever Technologies,dstrelitzki3m@ever.co,Service Fee,Upwork,-35,USD
03-Jan-22,267361024,Service Fee,Ever Technologies,nyerrell3n@ever.co,Service Fee,Upwork,-91,USD
17-Dec-21,268832974,Service Fee,Ever Technologies,trosi3o@ever.co,Service Fee,Upwork,-12,USD
07-Nov-21,269700129,Service Fee,Ever Technologies,cwallington3p@ever.co,Service Fee,Upwork,-56,USD
24-Dec-21,266423239,Service Fee,Ever Technologies,ccaddens3q@ever.co,Service Fee,Upwork,-80,USD
05-Nov-21,266416905,Service Fee,Ever Technologies,eyelland3r@ever.co,Service Fee,Upwork,-80,USD
01-Dec-21,268684116,Service Fee,Ever Technologies,dfobidge3s@ever.co,Service Fee,Upwork,-100,USD
18-Jan-22,269026764,Service Fee,Ever Technologies,icommucci3t@ever.co,Service Fee,Upwork,-73,USD
30-Dec-21,269829678,Service Fee,Ever Technologies,jbreheny3u@ever.co,Service Fee,Upwork,-56,USD
16-Jan-22,267961623,Service Fee,Ever Technologies,rdodding3v@ever.co,Service Fee,Upwork,-69,USD
21-Nov-21,267918363,Service Fee,Ever Technologies,rhauxwell3w@ever.co,Service Fee,Upwork,-96,USD
06-Dec-21,266400134,Service Fee,Ever Technologies,hrobberts3x@ever.co,Service Fee,Upwork,-39,USD
25-Jan-22,267750200,Service Fee,Ever Technologies,rsmoote3y@ever.co,Service Fee,Upwork,-60,USD
10-Dec-21,266898276,Service Fee,Ever Technologies,bwestmancoat3z@ever.co,Service Fee,Upwork,-22,USD
24-Dec-21,266885611,Service Fee,Ever Technologies,pswyne40@ever.co,Service Fee,Upwork,-62,USD
17-Dec-21,269531155,Service Fee,Ever Technologies,tsiccombe41@ever.co,Service Fee,Upwork,-13,USD
05-Nov-21,266783606,Service Fee,Ever Technologies,awyleman42@ever.co,Service Fee,Upwork,-8,USD
16-Jan-22,266866536,Service Fee,Ever Technologies,mhuddleston43@ever.co,Service Fee,Upwork,-53,USD
24-Nov-21,266851486,Service Fee,Ever Technologies,vtoope44@ever.co,Service Fee,Upwork,-55,USD
07-Jan-22,268059100,Service Fee,Ever Technologies,llavalde45@ever.co,Service Fee,Upwork,-67,USD
31-Dec-21,268592572,Service Fee,Ever Technologies,twybron46@ever.co,Service Fee,Upwork,-21,USD
17-Jan-22,267929526,Service Fee,Ever Technologies,fcordall47@ever.co,Service Fee,Upwork,-37,USD
29-Dec-21,268696350,Service Fee,Ever Technologies,gmingaye48@ever.co,Service Fee,Upwork,-29,USD
04-Nov-21,268095759,Service Fee,Ever Technologies,amclarens49@ever.co,Service Fee,Upwork,-100,USD
22-Nov-21,268805311,Service Fee,Ever Technologies,bmachostie4a@ever.co,Service Fee,Upwork,-99,USD
24-Nov-21,268391284,Service Fee,Ever Technologies,gkealy4b@ever.co,Service Fee,Upwork,-78,USD
06-Jan-22,267624500,Service Fee,Ever Technologies,rmcnutt4c@ever.co,Service Fee,Upwork,-72,USD
13-Nov-21,268379107,Service Fee,Ever Technologies,atregunnah4d@ever.co,Service Fee,Upwork,-3,USD
08-Jan-22,267083530,Service Fee,Ever Technologies,fpinniger4e@ever.co,Service Fee,Upwork,-49,USD
03-Dec-21,266733697,Service Fee,Ever Technologies,mkhalid4f@ever.co,Service Fee,Upwork,-36,USD
13-Jan-22,268746961,Service Fee,Ever Technologies,ihiggonet4g@ever.co,Service Fee,Upwork,-30,USD
26-Jan-22,267370779,Service Fee,Ever Technologies,lstanaway4h@ever.co,Service Fee,Upwork,-89,USD
07-Dec-21,269275124,Service Fee,Ever Technologies,awormleighton4i@ever.co,Service Fee,Upwork,-42,USD
05-Dec-21,268046769,Service Fee,Ever Technologies,abeevens4j@ever.co,Service Fee,Upwork,-46,USD
15-Nov-21,267471212,Service Fee,Ever Technologies,wolwen4k@ever.co,Service Fee,Upwork,-21,USD
03-Dec-21,269787393,Service Fee,Ever Technologies,hgellately4l@ever.co,Service Fee,Upwork,-95,USD
28-Dec-21,266422424,Service Fee,Ever Technologies,ebeadman4m@ever.co,Service Fee,Upwork,-21,USD
10-Jan-22,268882502,Service Fee,Ever Technologies,dridsdole4n@ever.co,Service Fee,Upwork,-35,USD
10-Nov-21,269962201,Service Fee,Ever Technologies,klighten4o@ever.co,Service Fee,Upwork,-39,USD
09-Jan-22,269954879,Service Fee,Ever Technologies,msheehan4p@ever.co,Service Fee,Upwork,-31,USD
02-Dec-21,268291469,Service Fee,Ever Technologies,mwallbanks4q@ever.co,Service Fee,Upwork,-56,USD
02-Dec-21,268106775,Service Fee,Ever Technologies,ejohannes4r@ever.co,Service Fee,Upwork,-75,USD
30-Dec-21,268254893,Service Fee,Ever Technologies,dcullingford4s@ever.co,Service Fee,Upwork,-91,USD
01-Dec-21,267584085,Service Fee,Ever Technologies,ksturdgess4t@ever.co,Service Fee,Upwork,-66,USD
06-Jan-22,268792773,Service Fee,Ever Technologies,aocannon4u@ever.co,Service Fee,Upwork,-11,USD
15-Dec-21,266938748,Service Fee,Ever Technologies,rgambrell4v@ever.co,Service Fee,Upwork,-12,USD
27-Nov-21,268119993,Service Fee,Ever Technologies,kmoraleda4w@ever.co,Service Fee,Upwork,-17,USD
24-Jan-22,269649915,Service Fee,Ever Technologies,dmoreno4x@ever.co,Service Fee,Upwork,-85,USD
26-Dec-21,267997689,Service Fee,Ever Technologies,fgreason4y@ever.co,Service Fee,Upwork,-94,USD
25-Dec-21,266544394,Service Fee,Ever Technologies,bcluley4z@ever.co,Service Fee,Upwork,-41,USD
13-Nov-21,266572462,Service Fee,Ever Technologies,hpoacher50@ever.co,Service Fee,Upwork,-80,USD
15-Nov-21,269897781,Service Fee,Ever Technologies,ppaullin51@ever.co,Service Fee,Upwork,-59,USD
17-Jan-22,268051920,Service Fee,Ever Technologies,dohanvey52@ever.co,Service Fee,Upwork,-65,USD
08-Jan-22,269203446,Service Fee,Ever Technologies,rshortland53@ever.co,Service Fee,Upwork,-53,USD
25-Nov-21,269492489,Service Fee,Ever Technologies,brihosek54@ever.co,Service Fee,Upwork,-10,USD
28-Nov-21,266293879,Service Fee,Ever Technologies,dsteeples55@ever.co,Service Fee,Upwork,-1,USD
23-Dec-21,269029323,Service Fee,Ever Technologies,scaslane56@ever.co,Service Fee,Upwork,-8,USD
10-Nov-21,267112643,Service Fee,Ever Technologies,cprettyjohn57@ever.co,Service Fee,Upwork,-57,USD
20-Nov-21,267958795,Service Fee,Ever Technologies,wwalklate58@ever.co,Service Fee,Upwork,-84,USD
07-Jan-22,266435184,Service Fee,Ever Technologies,cpree59@ever.co,Service Fee,Upwork,-42,USD
02-Nov-21,268676890,Service Fee,Ever Technologies,rmogridge5a@ever.co,Service Fee,Upwork,-11,USD
28-Oct-21,269116523,Service Fee,Ever Technologies,mscarfe5b@ever.co,Service Fee,Upwork,-43,USD
18-Jan-22,268438350,Service Fee,Ever Technologies,vpardey5c@ever.co,Service Fee,Upwork,-51,USD
11-Jan-22,269674366,Service Fee,Ever Technologies,shackney5d@ever.co,Service Fee,Upwork,-47,USD
02-Nov-21,269605229,Service Fee,Ever Technologies,shaddrell5e@ever.co,Service Fee,Upwork,-57,USD
04-Jan-22,266494141,Service Fee,Ever Technologies,dstannett5f@ever.co,Service Fee,Upwork,-67,USD
05-Dec-21,267712189,Service Fee,Ever Technologies,cpester5g@ever.co,Service Fee,Upwork,-19,USD
22-Dec-21,266662176,Service Fee,Ever Technologies,wgyde5h@ever.co,Service Fee,Upwork,-77,USD
08-Jan-22,267712054,Service Fee,Ever Technologies,cblenkin5i@ever.co,Service Fee,Upwork,-18,USD
24-Dec-21,266991599,Service Fee,Ever Technologies,edjurisic5j@ever.co,Service Fee,Upwork,-11,USD
23-Dec-21,267274313,Service Fee,Ever Technologies,oglencros5k@ever.co,Service Fee,Upwork,-69,USD
04-Nov-21,269713547,Service Fee,Ever Technologies,bsteanson5l@ever.co,Service Fee,Upwork,-11,USD
31-Dec-21,268991403,Service Fee,Ever Technologies,cdjuricic5m@ever.co,Service Fee,Upwork,-63,USD
08-Dec-21,267555647,Service Fee,Ever Technologies,gmallen5n@ever.co,Service Fee,Upwork,-50,USD
20-Nov-21,267262191,Service Fee,Ever Technologies,nkyteley5o@ever.co,Service Fee,Upwork,-93,USD
05-Nov-21,269639947,Service Fee,Ever Technologies,rcurwood5p@ever.co,Service Fee,Upwork,-24,USD
29-Oct-21,268031935,Service Fee,Ever Technologies,wkerrich5q@ever.co,Service Fee,Upwork,-16,USD
15-Jan-22,269144691,Service Fee,Ever Technologies,rgregol5r@ever.co,Service Fee,Upwork,-95,USD
07-Jan-22,268880415,Service Fee,Ever Technologies,mreggiani5s@ever.co,Service Fee,Upwork,-39,USD
08-Jan-22,266957372,Service Fee,Ever Technologies,snapolitano5t@ever.co,Service Fee,Upwork,-32,USD
22-Dec-21,269735685,Service Fee,Ever Technologies,jwherrett5u@ever.co,Service Fee,Upwork,-16,USD
07-Dec-21,267031353,Service Fee,Ever Technologies,ndulwich5v@ever.co,Service Fee,Upwork,-54,USD
06-Jan-22,269798202,Service Fee,Ever Technologies,adavydenko5w@ever.co,Service Fee,Upwork,-62,USD
28-Nov-21,266238115,Service Fee,Ever Technologies,ered5x@ever.co,Service Fee,Upwork,-65,USD
13-Dec-21,269532466,Service Fee,Ever Technologies,aschoffel5y@ever.co,Service Fee,Upwork,-22,USD
27-Oct-21,269142751,Service Fee,Ever Technologies,kbowery5z@ever.co,Service Fee,Upwork,-92,USD
01-Jan-22,268026200,Service Fee,Ever Technologies,mcorkish60@ever.co,Service Fee,Upwork,-12,USD
20-Nov-21,269685484,Service Fee,Ever Technologies,hpilkinton61@ever.co,Service Fee,Upwork,-57,USD
07-Dec-21,268164867,Service Fee,Ever Technologies,sabramamovh62@ever.co,Service Fee,Upwork,-19,USD
06-Nov-21,268935612,Service Fee,Ever Technologies,plockless63@ever.co,Service Fee,Upwork,-25,USD
30-Oct-21,267022265,Service Fee,Ever Technologies,mwardroper64@ever.co,Service Fee,Upwork,-34,USD
28-Dec-21,267089578,Service Fee,Ever Technologies,kloch65@ever.co,Service Fee,Upwork,-84,USD
02-Dec-21,266862496,Service Fee,Ever Technologies,oallcott66@ever.co,Service Fee,Upwork,-53,USD
11-Nov-21,268779686,Service Fee,Ever Technologies,bbasant67@ever.co,Service Fee,Upwork,-46,USD
27-Dec-21,269583240,Service Fee,Ever Technologies,mdavion68@ever.co,Service Fee,Upwork,-27,USD
28-Oct-21,267280300,Service Fee,Ever Technologies,lsvanetti69@ever.co,Service Fee,Upwork,-68,USD
06-Nov-21,269442353,Service Fee,Ever Technologies,lfoottit6a@ever.co,Service Fee,Upwork,-34,USD
12-Nov-21,266819218,Service Fee,Ever Technologies,gbullock6b@ever.co,Service Fee,Upwork,-27,USD
14-Jan-22,266872335,Service Fee,Ever Technologies,ejacson6c@ever.co,Service Fee,Upwork,-98,USD
29-Oct-21,267880641,Service Fee,Ever Technologies,ltinsley6d@ever.co,Service Fee,Upwork,-46,USD
26-Dec-21,268930362,Service Fee,Ever Technologies,mbridell6e@ever.co,Service Fee,Upwork,-85,USD
07-Dec-21,267006542,Service Fee,Ever Technologies,mvitall6f@ever.co,Service Fee,Upwork,-36,USD
29-Dec-21,269558575,Service Fee,Ever Technologies,sdelasci6g@ever.co,Service Fee,Upwork,-56,USD
